city,n_stations,n_total,polling_span_h,r2_no_imd,r2_imd,delta_r2,mae_no_imd,mae_imd
Paris,1361,179630,1888.0,0.21010862400967822,0.49110053555873556,0.28099191154905734,1.9526861858098554,1.534207886631196
lyon,462,60874,1888.0,0.1806744198907344,0.6369771313511384,0.456302711460404,3.3095813797486877,2.10592602857677
toulouse,448,58971,1888.0,0.12005466060712922,0.6130034539887648,0.49294879338163555,2.6642005361045387,1.8044318300126212
levelo_inurba_marseille,228,30041,1888.0,0.06755338421535251,0.5210583526271199,0.45350496841176735,2.7226920909584544,1.9191929306223419
velo-tbm-bordeaux,228,30041,1888.0,0.07954241212542956,0.4727292634807626,0.39318685135533304,1.285736907887763,0.9508214556096793
velivert_saint_etienne,97,12804,1888.0,-0.011369183929077709,0.5371145535628521,0.5484837374919298,2.107796689083008,1.4217441755517026
nantes,123,16225,1888.0,0.08218422824465155,0.44403879343528463,0.3618545651906331,1.1981572999494163,1.0075458997940592
twisto_velolib_caen,76,9871,1885.0,0.06864211577033008,0.29965481477962974,0.23101269900929966,1.3642757945470874,1.1675234443693565
inurba-rouen,124,16368,1888.0,0.048525567389314794,0.34500752905721466,0.29648196166789986,0.9028407742961976,0.7112981779105814
velonecy60minutes_annecy,80,10560,1888.0,-0.013832046763937456,0.5079273435350873,0.5217593902990247,1.3056035026099564,0.9092028442795124
vilvolt_epinal,106,13771,1885.0,-0.030567263884663465,0.33633702379837327,0.36690428768303673,1.1775543548154652,0.9538771942520375
velozef,46,6017,1888.0,-0.06800818731967873,0.2676274340189855,0.3356356213386642,1.5937015056173884,1.3053134397297574
velopop,29,3770,1885.0,0.07903233847938851,0.3984747726535407,0.3194424341741522,2.2726363766501927,1.8849050122221218
le_velo_star,57,7524,1888.0,-0.02134827492822744,0.03569616473185733,0.05704443966008477,1.2515534546379545,1.172022656954283
tanlib,58,7468,1885.0,0.061152548719822786,0.3081127514092653,0.24696020268944252,1.6895756184102513,1.4447679904155817
capcotentin,49,6370,1885.0,0.04456792960776357,0.18352634365918985,0.13895841405142628,1.8281097543722442,1.6321116312081656
zebullo,66,8679,1888.0,-0.00022193566619610472,0.21906545034859903,0.21928738601479514,1.3927378682719398,1.1644235862092591
nancy,39,5126,1888.0,0.08748316167012005,0.3231920920360194,0.23570893036589935,1.341415883629173,1.1381580733592884
amiens,46,6061,1888.0,0.20162034910659876,0.44706002742847883,0.24543967832188007,1.3173075711474684,1.1200596725495695
