station,n_bins,true_mean,pred_no_imd_mean,pred_imd_mean,true_total,pred_no_imd_total,pred_imd_total,fold
Celleneuve,3591,1.4979114452798663,1.834452285595824,1.9127190371832536,5379,6587.518157574605,6868.574062525064,1
Cité Mion,2977,1.4884111521666106,1.8443408594085882,1.8297285441026643,4431,5490.602738459367,5447.101875793632,1
Garcia Lorca,5351,1.88768454494487,1.8516147635253937,2.1292078329806814,10101,9907.990599624382,11393.391114279626,1
Les Arceaux,7621,1.718934523028474,1.833258456769497,1.664733935749167,13100,13971.262699040337,12686.937324344402,1
Marie Caizergues,5616,1.5826210826210827,1.8370639766173174,1.6335088264878748,8888,10316.951292682854,9173.785569555905,1
Place Albert 1er - St Charles,13661,2.6880901837347193,1.8383661639671143,1.6214909876853016,36722,25113.920165954747,22151.188382768905,1
Pont de Lattes - Gare Saint-Roch,4570,1.5446389496717725,1.8531570309426484,1.8836939789251315,7059,8468.927631407903,8608.48148368785,1
Providence - Ovalie,2277,1.5696091348265262,1.8277834843141658,1.933208812748853,3574,4161.862993783356,4401.916466629138,1
Prés d'Arènes,4900,1.7553061224489797,1.8365633106742012,1.917514923034454,8601,8999.160222303586,9395.823122868824,1
Tonnelles,4161,1.4878634943523192,1.8244511904601608,1.8158625821459007,6191,7591.541403504729,7555.804204309093,1
Voltaire,7072,1.8655260180995474,1.856549702206748,1.7797770077282384,13193,13129.519494006123,12586.582998654103,1
Boutonnet,15279,2.555991884285621,1.714359724991081,1.4133226276900055,39053,26193.702238138725,21594.156428475595,2
Hôtel de Ville,8185,2.411728772144166,1.7320531506946433,1.6628590226396447,19740,14176.855038435655,13610.501100305491,2
Jardin de la Lironde,3098,1.6681730148482892,1.7265883655083207,1.6793730741783295,5168,5348.970756344777,5202.697783804465,2
Les Aubes,5402,1.6429100333209923,1.6926251051006533,1.4733445013588782,8875,9143.560817753729,7959.00699634066,2
Louis Blanc,11804,2.2696543544561165,1.7399942105184703,1.8805935695265472,26791,20538.891660960024,22198.526494691363,2
Malbosc,3081,1.6419993508601103,1.742151381881475,1.4221112458464822,5059,5367.568407576824,4381.524748453012,2
Nombre d'Or,8981,2.479233938314219,1.752708129640185,1.5103311400372077,22266,15741.0717122985,13564.283968674163,2
Observatoire,8775,1.9867806267806267,1.7538619181505395,1.659056759686768,17434,15390.138331770984,14558.22306625139,2
Port Marianne,10379,2.8707004528374602,1.738320432900056,1.8892281100772028,29795,18042.02777306968,19608.298554491288,2
Pérols Etang de l'Or,9621,5.1382392682673315,1.743462811163437,1.7443188575474544,49435,16773.855706203427,16782.09172846406,2
Sabines,4408,1.6054900181488203,1.7537992410657746,1.6810563920232333,7077,7730.747054617934,7410.096576038412,2
Beaux-Arts,4012,1.7946161515453638,1.7957416140088667,1.5368238681506732,7200,7204.515355403573,6165.737359020501,3
Comédie,13995,2.6190782422293677,1.7931960769426105,1.7175517734577144,36654,25095.779096811835,24037.137069540713,3
Foch,7928,1.7250252270433906,1.7877582676687165,1.9836964855195702,13676,14173.347546077584,15726.745737199153,3
Gambetta,4885,1.6114636642784033,1.8028102468061218,1.6349468107432044,7872,8806.728055647905,7986.715170480553,3
Jean de Beins,1212,1.5709570957095709,1.7614933878905914,1.6930749101900875,1904,2134.9299861233967,2052.006791150386,3
Médiathèque Emile Zola,10918,2.6458142516944494,1.8043553223924071,1.8924821480035618,28887,19699.9514098803,20662.12009190289,3
Occitanie,12612,2.617824294322867,1.7725955407608034,1.493775159644035,33016,22355.97496007525,18839.492313430568,3
Richter,6687,2.572902646926873,1.8284347121487394,2.0189254488386954,17205,12226.74292013862,13500.554476384355,3
Rondelet,5920,1.928885135135135,1.8096817800122715,1.8749357156898692,11419,10713.316137672648,11099.619436884026,3
Saint-Guilhem - Courreau,9116,1.6751864853005705,1.782549165366238,1.7481536793643528,15271,16249.718191478625,15936.16894108544,3
Sud De France,2589,1.5094631131711085,1.811171303716996,1.5911456860627549,3908,4689.122505323303,4119.4761812164725,3
Aiguelongue,6282,1.564310729067176,1.8118295989805717,1.8309761241661233,9827,11381.913540795951,11502.192012011586,4
Charles Flahault,6327,1.6222538327801486,1.8505446125373508,1.8658820448105202,10264,11708.395763523818,11805.43569751616,4
Corum,10886,2.286147345214036,1.8532777257021305,1.9192005861037205,24887,20174.781321993392,20892.417580325102,4
Emile Combes,4096,1.703857421875,1.8629846820423837,1.8536356448971933,6979,7630.785257645603,7592.491601498904,4
Hôtel du Département,2944,1.5706521739130435,1.8438439218536016,1.3983509680040256,4624,5428.276505937003,4116.745249803851,4
Jeu de Mail des Abbés,4341,1.714812255240728,1.8510286854188702,1.8018460381100163,7444,8035.315523403316,7821.813651435581,4
Nouveau Saint-Roch,7697,1.71391451214759,1.8462867192801253,1.8501011790368598,13192,14210.868878299125,14240.22877504671,4
Place Viala,9499,1.7762922412885567,1.8109161512949936,1.5382070813153974,16873,17201.892521151145,14611.429065414959,4
Père Soulas,8803,1.7514483698739067,1.8260171921766604,1.5674113471429891,15418,16074.42934273114,13797.922088899733,4
Rue Jules Ferry - Gare Saint-Roch,11074,1.9949431099873578,1.8476545408924312,1.5693277853909102,22092,20460.926385842784,17378.73589541894,4
Albert 1er - Cathédrale,6305,1.7555908009516257,1.849064965776164,1.6558503166775829,11069,11658.354609218713,10440.13624665216,5
Antigone centre,8502,2.398141613737944,1.8345194572687742,1.9806946340064457,20389,15597.084425699119,16839.8657783228,5
Comedie Baudin,2167,1.619289340101523,1.807762924900598,2.104943098729319,3509,3917.4222582595958,4561.411694946434,5
Euromédecine,1854,1.500539374325782,1.8532242165718062,1.4683658908896258,2782,3435.877697524129,2722.350361709366,5
Fac de Lettres,10557,2.156578573458369,1.7936509680841044,1.5000900697625903,22767,18935.57327006389,15836.450866483665,5
FacdesSciences,10921,2.707169673106858,1.8285541347723793,1.4690489239682265,29565,19969.639705849153,16043.483298657002,5
Parvis Jules Ferry - Gare Saint-Roch,7650,1.8836601307189542,1.8249460910525135,1.6597311228584044,14410,13960.837596551728,12696.943089866794,5
Plan Cabanes,11270,1.8475598935226265,1.7970151893332562,1.5141358216438372,20822,20252.361183785797,17064.310709926045,5
Renouvier,7247,1.5454670898302747,1.7793924563731283,1.987714422588497,11200,12895.25713133606,14404.966420498838,5
Vert Bois,6199,1.8851427649620907,1.7690455247475323,1.4841251896959875,11686,10966.313207909952,9200.092050925427,5
