station_id,n_bins,true_mean,pred_no_imd_mean,pred_imd_mean,true_total,pred_no_imd_total,pred_imd_total,fold
A32000,9349,2.769387100224623,2.5132366567298523,2.513718830786697,25891,23496.24950376739,23500.757349024832,1
A32029,3720,1.5618279569892473,2.665368106529828,2.2928612520736427,5810,9915.16935629096,8529.44385771395,1
A32035,4601,1.5705281460552054,2.529306998728315,1.4891877863908993,7226,11637.341501148978,6851.753005184528,1
A32043,3905,1.947247119078105,2.5668270449009505,1.419241450558764,7604,10023.459610338212,5542.137864431974,1
A32050,4705,1.4835281615302869,2.5925546852369914,1.5010061043100729,6980,12197.969794040044,7062.233720778892,1
A32054,3709,1.4119708816392558,2.564329088823262,1.3958235012364575,5237,9511.096590445479,5177.109366086021,1
A32055,3892,1.7194244604316546,2.6029502084794007,1.7852346198634783,6692,10130.682211401827,6948.133140508658,1
A32056,9962,2.6430435655490867,2.4406565340622492,2.1564161980978587,26330,24313.82039232813,21482.218165450868,1
B32003,12343,3.406222150206595,2.3916242053576817,2.2038409567448403,42043,29519.817566729864,27202.00892910156,1
B32005,18529,5.809217982621836,2.198920073388996,3.022918140174616,107639,40743.79003982471,56011.650219295465,1
B32007,12113,3.6694460496986707,2.4253513902885033,2.157537242009391,44448,29378.28139056464,26134.248612459753,1
B32015,16753,4.93804094788993,2.269892579210707,3.8262891802247636,82727,38027.51037951697,64101.822636305464,1
B32033,11638,2.405653892421378,2.390885147492942,2.9463046050059862,27997,27825.121346522857,34289.09299305967,1
B32035,7986,1.7342849987478086,2.4546107862833098,1.1755990694372394,13850,19602.52173925851,9388.334168525793,1
B32036,13379,2.4970476119291427,2.3292288362652975,2.1072546319935817,33408,31162.752600393414,28192.959721442126,1
B32055,7970,1.682685069008783,2.404844737300618,1.4325164949801446,13411,19166.612556285927,11417.156464991753,1
B32063,14870,2.7299260255548083,2.2593830450422128,2.2644259129520035,40594,33597.025879777706,33672.013325596294,1
C32001,15632,3.1947927328556807,2.2854209374461982,2.2220009034012103,49941,35725.70009415897,34734.31812196772,1
C32005,11710,2.1682322801024765,2.3664349780853624,2.8063655328259403,25390,27710.953593379596,32862.54038939176,1
C32013,8288,1.745415057915058,2.4633980009060124,1.4645596353567316,14466,20416.642631509032,12138.270257836592,1
C32021,6214,2.531541680077245,2.5407994533770366,1.8568337469362062,15731,15788.527803284906,11538.364903461585,1
C32026,1023,1.35386119257087,2.70711604455865,1.3956285845817027,1385,2769.3797135834993,1427.7280420270818,1
C32030,2801,1.3341663691538737,2.5448923347252195,1.3151517684799932,3737,7128.243429565339,3683.740103512461,1
C32037,1796,1.1169265033407572,2.3413524542580957,1.2705593946738203,2006,4205.06900784754,2281.9246728341814,1
C32038,2071,1.1825205214872043,2.544589188695826,1.5229861607148694,2449,5269.844209789056,3154.1043388404946,1
C32041,4595,1.344069640914037,2.4925589095711067,1.381789777388433,6176,11453.308189479236,6349.324027099849,1
C32044,525,1.1847619047619047,2.546917097226596,1.1860070884733676,622,1337.131476043963,622.653721448518,1
C32050,860,1.1534883720930234,2.5519948815228366,1.258934651692859,992,2194.7155981096394,1082.6838004558588,1
C32059,1621,1.1511412708204811,2.451796098963177,1.3605919328174167,1866,3974.36147641931,2205.5195230970326,1
C32062,3594,1.2303839732888147,2.474771433300109,1.3342494506479954,4422,8894.328531280593,4795.292525628895,1
C32064,6219,1.4667953047113684,2.480657346246565,1.3687980825891397,9122,15427.20803630739,8512.55527562186,1
C32080,1095,1.184474885844749,2.611837703163044,1.5668786593711097,1297,2859.9622849635334,1715.7321320113651,1
C32083,742,1.1549865229110512,2.5353118556289878,1.3400677208344527,857,1881.201396876709,994.3302488591638,1
C32088,1437,1.350034794711204,2.698952685272861,1.3353873424082652,1940,3878.3950087371013,1918.951611040677,1
C32093,13170,2.5226271829916476,2.329936917803525,2.004385234081921,33223,30685.26920747243,26397.7535328589,1
C32095,878,1.1765375854214124,2.6083715342880502,1.2326603787859896,1033,2290.150207104908,1082.2758125740988,1
C32099,1890,1.4693121693121693,2.639970780035726,1.4495347798144222,2777,4989.544774267522,2739.620733849258,1
C32102,5103,1.4368018812463257,2.4682012578684085,1.4707389505066817,7332,12595.231018902488,7505.180864435597,1
C32104,1367,1.1843452816386246,2.4198349010060642,1.1815239463839473,1619,3307.9143096752896,1615.143234706856,1
C32110,885,1.1322033898305084,2.6248691397017936,1.5490773884341884,1002,2323.0091886360874,1370.9334887642567,1
C32111,1522,1.1287779237844942,2.3253013512192444,1.3316113123334956,1718,3539.1086565556902,2026.7124173715804,1
C32112,5420,1.563468634686347,2.3330162584216025,1.5376871235890006,8474,12644.948120645086,8334.264209852383,1
D32008,11976,3.134185036740147,2.409979452358985,2.4347975192063416,37535,28861.9139214512,29159.13509001515,1
D32009,10102,2.640566224509998,2.4535879473747872,2.5545359592721404,26675,24786.1454443801,25805.922260567164,1
D32010,17014,4.424591512871753,2.2282168498927843,3.552742060671367,75280,37910.881484075835,60446.35342026264,1
D32019,16763,4.5465012229314565,2.268387824047883,2.2583676319525625,76213,38024.98509451466,37857.016614420805,1
D32031,7867,1.6777678911910512,2.4507918608727164,1.392457225093892,13199,19280.37956948566,10954.460989813648,1
D32035,13467,2.537016410484889,2.324345990514354,2.3331393698939538,34166,31301.96745425681,31420.387894361877,1
D32043,12028,2.320751579647489,2.382399670743244,2.680251551595812,27914,28655.50323969974,32238.065662594425,1
D32046,14453,4.191102193316267,2.346214335269562,3.0919029771635556,60574,33909.83578765098,44687.27372894487,1
E32004,6269,1.4136225873345032,2.400466003591102,1.4668158275573566,8862,15048.521376512617,9195.468422957068,1
E32006,11613,2.2596228364763626,2.352107220400294,1.7896712382862139,26241,27315.021150508615,20783.4520902178,1
E32008,6792,1.8081566548881036,2.5742606144826823,1.206313010232162,12281,17484.378093566378,8193.277965496844,1
E32012,5859,1.4258405871309097,2.461858773181513,1.6549994383165152,8354,14424.030552070484,9696.641709096462,1
E32013,411,1.1800486618004866,2.58856000936079,1.183911715563295,485,1063.8981638472846,486.5877150965142,1
E32014,772,1.1735751295336787,2.62149776340462,1.1541836991087084,906,2023.7962733483666,891.029815711923,1
E32016,8022,2.0721765145848914,2.3054089437658907,2.624649223108947,16623,18493.990546889974,21054.936067779974,1
F32003,4352,1.3444393382352942,2.515058230280904,1.2833240483152766,5851,10945.533418182495,5585.026258268083,1
H32003,2614,1.2260902830910483,2.4005660358760585,1.2225859947930522,3205,6275.0796177800175,3195.839790389038,1
K32002,9247,1.8091272845247106,2.387475497160668,1.1918932471317292,16729,22076.985922244698,11021.4368562271,1
K32006,13504,2.515254739336493,2.324420411286357,2.313843900645634,33966,31388.973234010962,31246.14803431864,1
K32009,6625,1.5213584905660378,2.446293267176972,1.4430974350499883,10079,16206.69289504744,9560.520507206173,1
K32015,10157,2.2094122280200845,2.355942915072169,2.4448835904703867,22441,23929.31218838802,24832.682628407718,1
L32004,2276,1.2438488576449913,2.6901278860224607,1.2708655484869429,2831,6122.731068587121,2892.489988356282,1
L32005,5332,1.5390097524381094,2.5706800103247254,1.8842535528436914,8206,13706.865815051437,10046.839943762563,1
M32018,18098,8.785335396176373,2.227741248403542,2.3822503861004143,158997,40317.661113607304,43113.9674876453,1
M32023,13810,3.4060825488776247,2.363402189681307,3.0819452062003863,47038,32638.584239498847,42561.66329762733,1
M32026,14425,3.3505719237435008,2.3248336284457705,2.453313231161763,48332,33535.72509033024,35389.04335950843,1
M32036,7369,1.6748541186049668,2.5083033442056797,1.78644269800892,12342,18483.687343451653,13164.296241627731,1
M32037,14769,7.874128241587108,2.3481697974495583,3.2576502668965768,116293,34680.11973853253,48112.23679179554,1
M32040,14653,3.3870197229236334,2.332727371628471,3.493014405804088,49630,34181.45417647198,51183.1400882473,1
M32043,8355,1.9080789946140035,2.519702574481689,1.3882523307248942,15942,21052.11500979451,11598.84822320649,1
M32054,9620,2.158212058212058,2.4711295969297393,1.385617901809728,20762,23772.266722464094,13329.644215409584,1
M32056,11219,2.042249754880114,2.4019062364764516,2.1178392807756112,22912,26946.986067029313,23760.038891021584,1
M32058,3811,1.4093413802151666,2.6330453611737767,1.3670294246112353,5371,10034.535871433263,5209.7491371934175,1
M32061,16422,5.382170259408111,2.281728005555984,2.3203572430849158,88386,37470.53730724037,38104.906645940486,1
M32064,12481,2.802419677910424,2.4078632490769314,2.7620310195283584,34977,30052.541211729178,34472.90915473344,1
M32065,14537,3.139574877897778,2.3315632449693986,1.8895869776901544,45640,33893.934892120145,27468.925894681775,1
M32070,15803,4.336644940834018,2.2870619162163637,4.060788622484086,68532,36142.439461967195,64172.64260111601,1
M32071,14602,4.660525955348582,2.3292346603009513,3.8096827470467023,68053,34011.48450971449,55628.98747237595,1
M32088,6923,1.9204102267802976,2.4572716229602984,2.8703084301355437,13295,17011.691445754146,19871.14526182837,1
M32093,572,1.1083916083916083,2.7263192749557135,1.405522558427125,634,1559.4546252746682,803.9589034203154,1
N32009,6175,1.779433198380567,2.5213987543724694,1.355806488480357,10988,15569.63730825,8372.105066366204,1
S32004,12536,2.60721123165284,2.386727994421668,2.056085660419834,32684,29920.02213807003,25775.08983902304,1
S32009,8248,1.6881668283220175,2.4614459927484975,2.084350104971071,13924,20302.00654818961,17191.719665801393,1
S32013,7373,1.5600162756001628,2.431635415258176,1.6001002205362038,11502,17928.44791669853,11797.53892601343,1
S32017,7524,1.5645933014354068,2.460148920548358,1.6980098236237315,11772,18510.160478205846,12775.825912944956,1
S32023,13578,3.0099425541316838,2.3898477778715157,2.3449956948922153,40869,32449.353127939437,31840.351545246496,1
S32041,10686,2.0479131574022085,2.3880514928065333,1.8132966789715081,21884,25518.718252130617,19376.888311489536,1
