station_id,n_bins,true_mean,pred_no_imd_mean,pred_imd_mean,true_total,pred_no_imd_total,pred_imd_total,fold
BK-A3,4419,1.2896582937316134,2.024011689066253,1.3307974221725036,5699,8944.107653983772,5880.793808580293,1
BK-F10,6191,1.3682765304474236,1.9862868059819208,1.557411327777867,8471,12297.101615834072,9641.933530272774,1
BK-H3,5646,1.3374070138150904,2.093310707586409,1.277293310026478,7551,11818.832255032863,7211.598028409495,1
BK-H6,8197,1.5687446626814687,2.0750478918455193,1.4462679712043525,12859,17009.16756945772,11855.058559962077,1
BK-I5,4652,1.2020636285468616,1.9809173509092892,1.2199922707620243,5592,9215.227516430014,5675.404043584937,1
EM-A1,3344,1.2888755980861244,2.177842234934765,1.452466559209829,4310,7282.704433621854,4857.048173997668,1
EM-A2,3705,1.2531713900134953,2.0653252302171645,1.194013826690904,4643,7652.029977954595,4423.821227889799,1
EM-C1,4605,1.2697068403908796,2.0752938462600983,1.1753843453764135,5847,9556.728162027754,5412.644910458384,1
EM-D3,2218,1.2006311992786294,2.1679447350089847,1.5130636372593838,2663,4808.501422249928,3355.9751474413133,1
EM-D4,3357,1.1587727137324992,2.0064525283335644,1.2397996885450764,3890,6735.661137615775,4162.007554445821,1
L1.20,157,1.267515923566879,2.1249016019734484,1.2555199011172395,199,333.60955150983136,197.1166244754066,1
LW1.6,687,1.6462882096069869,2.1602758033968357,1.4963977985713577,1131,1484.1094769336262,1028.0252876185227,1
OK-A4,3724,1.229860365198711,2.0303181801851014,1.4684318722741172,4580,7560.904903009317,5468.440292348812,1
OK-B5,2632,1.166033434650456,1.998174909254973,1.5648236200993462,3069,5259.196361159089,4118.615768101479,1
OK-F2-2,2456,1.1767100977198697,2.103341536893351,1.2467391524841287,2890,5165.80681461007,3061.99135850102,1
OK-G2,2290,1.2078602620087335,2.0684568335101488,1.4204998524321422,2766,4736.766148738241,3252.9446620696053,1
OK-G5,3136,1.213329081632653,2.0398246206796258,1.2566062735564223,3805,6396.890010451306,3940.7172738729405,1
OK-H3-2,2140,1.1228971962616823,1.9768467371541922,1.3109564995765404,2403,4230.4520175099715,2805.4469090937964,1
OK-I6,10182,1.5075623649577685,1.987237269565349,1.3389510304106753,15350,20234.049878714384,13633.199391641496,1
OK-J5,5682,1.284758887715593,1.986508295226796,1.4335180030859014,7300,11287.340133478656,8145.2492935340915,1
