station_id,n_bins,true_mean,pred_no_imd_mean,pred_fe_mean,pred_imd_mean,fold
T32001,973,1.763617677286742,2.737647863481122,1.348824925326802,1.3078653077089255,1
T32002,1498,1.9746328437917222,2.7493865362875987,1.3568454853864285,1.4809228965623764,1
T32003,1362,1.4566813509544787,2.616165648712717,1.3010730955642826,1.5789316985967603,1
T32004,2483,1.6202174788562222,2.5987159336437924,1.3034878775339596,1.8280883583213097,1
T32005,3362,1.5276621058893516,2.672708006077175,1.310382893797164,2.1246859953136306,1
T32006,1202,1.4334442595673877,2.5168931462328428,1.2947986822219613,1.331262537024131,1
T32007 ,2732,1.5863836017569546,2.576904030444868,1.292736574677597,1.3674074769411435,1
T32008,1959,1.7738642164369576,2.5880089466568164,1.308445127505195,1.8556691237306964,1
T32009,884,1.2081447963800904,2.6254301252034806,1.2904431285965792,1.2828789591767364,1
T32010,1174,1.9318568994889267,2.631190276673934,1.3311418774643762,1.4309078731459488,1
T32011,1319,1.1857467778620168,2.413945199305462,1.2672852325717188,1.5634332124875687,1
T32012,839,1.2657926102502979,2.6851444434498117,1.3074140621550394,2.306957708791384,1
T32013,212,1.3349056603773586,2.646402851017195,1.3274981591633923,1.5725728295545016,1
T32014,756,1.3452380952380953,2.6139803748806365,1.3153792250919516,1.4559419806501628,1
T32015,486,1.2551440329218106,2.447873350586317,1.2937343425297843,1.4594370350428367,1
T32016,939,1.3908413205537806,2.6248353369742126,1.3243063854305794,1.667324734777613,1
T32017,293,1.3071672354948805,2.5389156021379655,1.3026751326730492,1.3322450052114396,1
T32018,1684,1.9560570071258907,2.614990180760445,1.311912402088771,1.6307163021049331,1
A32001,14660,2.602319236016371,2.1542959296007624,1.1807242444490662,1.5002840355176161,2
A32002,17485,5.355218758936231,2.111694882900149,1.1725872453843815,1.4795291216172972,2
A32003,13165,3.295936194454994,2.2345696811531988,1.1947262630988271,2.8280976226321846,2
A32005,10382,2.099884415334232,2.306758673213662,1.2087811248034928,1.541222646655173,2
A32006,12721,2.940963760710636,2.2624313204476043,1.2004686608041404,2.2236856496923734,2
A32008,13800,2.484855072463768,2.183973192297729,1.1879388016987387,2.2479454030512867,2
A32011,11061,2.8375372931922973,2.292946670781739,1.1995570055174125,1.7958607726984905,2
A32012,15656,3.3656106285130303,2.1635990684161266,1.1818030700839963,2.3077428195604868,2
A32017,13786,2.4126650224865807,2.1493816393941643,1.1791113801746411,1.83269466153348,2
A32019,12778,3.016121458757239,2.2661988351005435,1.2023448916792292,1.7369248079933688,2
A32040,11175,2.0894854586129754,2.2439027740851345,1.1965608577230393,1.8928311057146665,2
A32043,3905,1.947247119078105,2.423716081332352,1.249006506973574,1.3480014018752098,2
A32045,9018,1.9510978043912175,2.329597922314379,1.2103266431103843,1.3465405398260881,2
A32052,11542,3.090278981112459,2.3104204416513543,1.2063917895030039,1.7796812472178785,2
B32010,15181,3.718266253869969,2.159104483109865,1.182641742701828,2.8359210011285665,2
B32020,10092,2.324514466904479,2.316293841123552,1.2087252033253837,2.994653503399533,2
B32037,14767,4.084309609263899,2.1213023319738746,1.1741788454031294,2.6670358923989457,2
B32058,13462,3.280418957064329,2.2116152089637935,1.1896877853859689,2.6682117583711444,2
B32060,14221,3.3302861964700092,2.1699166541246195,1.1827596724981646,3.100505540839196,2
D32032,14657,3.4328989561301766,2.1712949392498864,1.18273167446454,2.509849103555905,2
D32035,13467,2.537016410484889,2.1938335806361757,1.1882221044006231,2.0343099180828905,2
D32058,11545,3.088436552620182,2.264453298482203,1.2146000159248,2.0275316635393903,2
E32015,6629,1.9465982802836024,2.2638117797999158,1.2006405566754517,1.5780245713210863,2
E32016,8022,2.0721765145848914,2.1762074924245036,1.1852228566028882,2.13169450786039,2
F32001,3506,1.302338847689675,2.34244220018383,1.2157173838396838,1.2963275770034872,2
F32002,3526,1.3338060124787294,2.4568532974806647,1.2324919257470677,1.269075497661023,2
F32003,4352,1.3444393382352942,2.3622318390668022,1.2168853641091908,1.2034800925839928,2
F32004,1697,1.2203889216263994,2.451546920117947,1.2428185131886265,1.4631219451087842,2
F32005,1951,1.2552537160430548,2.435094706252947,1.241891262958069,1.4391473166203643,2
F32006,4779,1.4921531701192718,2.4453565395379786,1.2296103182574978,1.4786182673318318,2
F32007,2709,1.311923218899963,2.447408418835133,1.2268832065951496,1.3988117698844076,2
F32008,1414,1.1647807637906649,2.331690073551693,1.2096696075475215,1.3289816048677259,2
F32009,1271,1.2494099134539733,2.4234199386181015,1.2292457374946935,1.4398784379139693,2
F32011,491,1.2525458248472505,2.355270712005627,1.2325147477193703,1.1529043682781113,2
F32012,740,1.2243243243243243,2.238966856532005,1.200720008942591,1.2181515436190298,2
F32013,615,1.1967479674796748,2.4899182501356685,1.2501967643512268,1.2389981439538442,2
K32001,14522,2.8881008125602534,2.1793847338051178,1.184330803730113,1.9071588561565382,2
K32004,8523,1.7973718174351754,2.2756149713441394,1.2055458337662117,1.999778523483503,2
K32006,13504,2.515254739336493,2.1903593352227273,1.1878245885115128,2.1820212685295566,2
K32007,13731,2.619619838322045,2.1886552994080626,1.1875510785320507,2.094976061563835,2
K32012,14259,2.6445052247703207,2.173762294797395,1.1824471099738718,1.890694632117233,2
K32015,10157,2.2094122280200845,2.22570877750768,1.194964056949707,2.2086024253282557,2
K32017,11817,2.3785224676313783,2.2506557513501315,1.1980559334444192,1.6044484525346576,2
L32001,5178,1.7037466203167246,2.4033075488201168,1.2309866800112965,1.412283892893937,2
L32002,5475,1.7643835616438357,2.4365569745917846,1.234325095233686,1.3297140519127473,2
L32003,3199,1.4157549234135667,2.369474879137621,1.2227838873305685,1.3504183164424968,2
L32004,2276,1.2438488576449913,2.521899548803641,1.2541503299267942,1.2597798852568411,2
L32005,5332,1.5390097524381094,2.4213314938414263,1.2277191804004637,2.2104501967311663,2
M32002,16488,4.29852013585638,2.154189700199378,1.180409112709534,2.6652708724312992,2
M32005,15154,6.004817209977563,2.1959738666662902,1.1855692855542703,2.762529180548327,2
M32006,18847,12.06791531808776,2.07200685475209,1.1651878905563458,3.3946041526118544,2
M32007,14679,2.9971387696709586,2.1920643608666257,1.1857389966241447,1.9053600523759833,2
M32009,14010,3.1075660242683796,2.2011069018528326,1.1917009028734922,2.3594510486200027,2
M32011,18545,9.52774332704233,2.0851055448312543,1.1671324051061918,2.9297030381033835,2
M32012,17258,4.705817591841464,2.126163070033242,1.1744308205948666,2.739824800063474,2
M32013,14820,3.7555330634278,2.1916064244832434,1.1856418658708565,2.7564741437994766,2
M32014,13867,2.8156053941011034,2.2088515587712996,1.1895793400823933,2.286933170143262,2
M32016,13851,3.9179120641108947,2.2204576580553814,1.1941220371216086,1.952162474171646,2
M32017,15088,4.1318266171792155,2.187280535668063,1.1881291002745966,1.6147213156668179,2
M32018,18098,8.785335396176373,2.1048874559212822,1.1718875801075612,1.9411785583028416,2
M32020,14799,3.359889181701466,2.1953824918178206,1.1879983876414983,1.8989258720894744,2
M32021,13340,3.3529235382308844,2.229249255873869,1.1926552677629927,2.305056724595976,2
M32022,14717,4.833933546239043,2.223955144595466,1.190389591233511,1.7622800309404067,2
M32023,13810,3.4060825488776247,2.2275558949344205,1.1922992840881736,2.3467030195290843,2
M32024,14410,2.8908396946564885,2.171640691246737,1.1812356112298472,1.7524959192461946,2
M32025,11658,2.4367816091954024,2.2737284070448385,1.2007360497254713,2.1582772221179876,2
M32026,14425,3.3505719237435008,2.1938932193937104,1.185217186680147,2.128361947696942,2
M32029,15343,3.499706706641465,2.1780052703550674,1.1830545835409216,2.593699818555343,2
M32030,13463,2.87343088464681,2.21929288358832,1.1925278518877216,1.9713147290557953,2
M32031,7328,1.6337336244541485,2.368964881274042,1.218851433684281,1.8969444325382945,2
M32033,9029,2.1292501938199138,2.362821785668507,1.2139636814029686,2.264402987411584,2
M32036,7369,1.6748541186049668,2.3572992209732644,1.2169313129674513,1.6365286216070447,2
M32038,16453,4.502461557162827,2.1387678080689962,1.1786860746715633,1.9433477269158583,2
M32039,11979,2.330745471241339,2.238175793234628,1.19511933741116,2.057399210528265,2
M32040,14653,3.3870197229236334,2.2003980502109775,1.188234771721273,2.092007666108273,2
M32041,18607,6.771215134089322,2.083181988755295,1.1656468966291411,2.4931200893314363,2
M32042,18123,7.381669701484301,2.090051944074071,1.1658565683516986,3.2466206714623165,2
M32043,8355,1.9080789946140035,2.379836698997704,1.21535841211344,1.475202123743486,2
M32044,8427,1.7809422095644951,2.309312651918916,1.2057651345681393,1.5319608948758892,2
M32046,9345,2.4886035313001607,2.37397604436553,1.2116380635873159,1.4290174083680274,2
M32047,11929,2.966719758571548,2.266925396745543,1.1956522709767288,2.2835417749533637,2
M32050,13316,2.67775608290778,2.2157796258933247,1.1925215660062696,3.1020878741610374,2
M32051,5047,1.6421636615811372,2.419600828152708,1.239021765386249,1.9017542645498224,2
M32052,15155,3.2948861761794785,2.170180732006077,1.182287391533928,2.3434161446394635,2
M32054,9620,2.158212058212058,2.3243031082331136,1.21024591830306,1.2937024914260455,2
M32055,15297,3.3737334117800875,2.1633960147460427,1.1793497080117084,2.6429738943725503,2
M32056,11219,2.042249754880114,2.26248799816038,1.1994296362136194,2.21660344660708,2
M32057,3900,1.3187179487179488,2.3158764895179473,1.2086439128239248,1.866565127685482,2
M32058,3811,1.4093413802151666,2.473558997583111,1.2398269065618908,1.5528851919204203,2
M32060,4848,1.4288366336633664,2.418845003220132,1.22829862019814,1.2085567775751198,2
M32061,16422,5.382170259408111,2.1530855201564685,1.1793538917700026,2.1735636665455154,2
M32062,16815,4.029913767469521,2.1259522336863172,1.1747577083904133,1.9722210232091129,2
M32063,16011,4.051089875710449,2.1614363987936644,1.181635332667968,2.718798607575432,2
M32066,7223,1.8164197701785962,2.4174959375670197,1.2181842765932376,1.704852748627497,2
M32067,15039,3.3205000332468915,2.176710211912928,1.182718847376868,2.310833736071725,2
M32068,10882,2.0444771181768058,2.233126007417762,1.1911349663670119,1.6810582871980646,2
M32069,2690,1.378810408921933,2.6885870688943965,1.2446793441246735,1.4954175105486995,2
M32072,11384,3.2988404778636684,2.2930835124727156,1.201773995542344,2.8805184832643116,2
M32073,16973,4.2864549578742706,2.1374548675768335,1.1767773697797517,3.504703886161734,2
M32074,3773,1.366816856612775,2.548893328034216,1.2307651309751546,1.4852557911465514,2
M32075,7245,1.675224292615597,2.376483975335966,1.225494786758136,1.5718800108447601,2
M32076,14096,3.010854143019296,2.2049727247199837,1.1882071150272417,1.7767316745255752,2
M32078,8513,2.5683072947257135,2.358726196704435,1.2043906135174627,3.7630299624436927,2
M32079,8465,1.7123449497932663,2.27082670430147,1.1998060151926246,1.689232565863094,2
M32080,13275,3.753898305084746,2.236930878239429,1.1914166181444261,3.1900825362460603,2
M32084,6279,1.7311673833412964,2.4605911953763115,1.2325043698284495,1.5742892378634603,2
M32085,16962,5.759757104115081,2.101771490859359,1.17083136425429,2.2393034298914443,2
M32087,9625,2.628987012987013,2.2592911418960613,1.197894537405793,2.0315821810422015,2
M32088,6923,1.9204102267802976,2.3126185717314405,1.205072730820723,2.09516886685302,2
M32089,8442,2.511016346837242,2.2335590427539107,1.1938872534238136,2.317737423440301,2
M32091,7296,2.762061403508772,2.3017256981626493,1.200841950864196,2.492039122751893,2
M32093,572,1.1083916083916083,2.5863137023865566,1.2432354695401762,1.590764237697357,2
S32001,9425,1.8858355437665784,2.28456352379159,1.2014122862224321,1.9261453128429482,2
S32002,15047,3.295540639330099,2.185708172452174,1.1883489419166517,1.7716002513211833,2
S32003,12485,2.8281137364837807,2.2493439106196798,1.202663257091868,2.118381239713392,2
S32004,12536,2.60721123165284,2.2456004537370298,1.2013739870193765,2.463115787682956,2
S32005,9768,1.8757166257166258,2.2538819056737887,1.1992358314303588,2.0513703623657076,2
S32006,15036,3.4695397712157487,2.199243249942975,1.1891858673589517,1.6503856283278078,2
S32007,8387,1.7318469059258377,2.3192735688756065,1.2120491255981267,1.6257311433825634,2
S32008,8118,1.6379650160137964,2.316635271308708,1.2115836024290805,1.95293513654515,2
S32009,8248,1.6881668283220175,2.3122148040865844,1.208155513992887,1.872759352478926,2
S32010,6063,1.519874649513442,2.388495322840148,1.2260973946277514,1.6202408311185224,2
S32011,9370,1.7689434364994663,2.2761858446046856,1.2021351683699852,1.540205488597842,2
S32013,7373,1.5600162756001628,2.288565225585866,1.2074862404312943,1.3996994328543748,2
