station_id,n_bins,true_mean,pred_no_imd_mean,pred_fe_mean,pred_imd_mean,fold
BK-A3,4419,1.2896582937316134,2.024011689066253,1.1940750864684408,1.3307974221725036,1
BK-F10,6191,1.3682765304474236,1.9862868059819208,1.1911528298907852,1.557411327777867,1
BK-H3,5646,1.3374070138150904,2.093310707586409,1.2093592691189845,1.277293310026478,1
BK-H6,8197,1.5687446626814687,2.0750478918455193,1.202982103774457,1.4462679712043525,1
BK-I5,4652,1.2020636285468616,1.9809173509092892,1.1830827873404857,1.2199922707620243,1
EM-A1,3344,1.2888755980861244,2.177842234934765,1.208580909445575,1.452466559209829,1
EM-A2,3705,1.2531713900134953,2.0653252302171645,1.201263174381022,1.194013826690904,1
EM-C1,4605,1.2697068403908796,2.0752938462600983,1.204064294983619,1.1753843453764135,1
EM-D3,2218,1.2006311992786294,2.1679447350089847,1.213009127380034,1.5130636372593838,1
EM-D4,3357,1.1587727137324992,2.0064525283335644,1.1954853179785752,1.2397996885450764,1
L1.20,157,1.267515923566879,2.1249016019734484,1.2325579838112182,1.2555199011172395,1
LW1.6,687,1.6462882096069869,2.1602758033968357,1.253239218609239,1.4963977985713577,1
OK-A4,3724,1.229860365198711,2.0303181801851014,1.1997026762697105,1.4684318722741172,1
OK-B5,2632,1.166033434650456,1.998174909254973,1.1993912216879257,1.5648236200993462,1
OK-F2-2,2456,1.1767100977198697,2.103341536893351,1.200244620769152,1.2467391524841287,1
OK-G2,2290,1.2078602620087335,2.0684568335101488,1.1964720960841937,1.4204998524321422,1
OK-G5,3136,1.213329081632653,2.0398246206796258,1.1946992521548532,1.2566062735564223,1
OK-H3-2,2140,1.1228971962616823,1.9768467371541922,1.185987819602854,1.3109564995765404,1
OK-I6,10182,1.5075623649577685,1.987237269565349,1.1888579165733473,1.3389510304106753,1
OK-J5,5682,1.284758887715593,1.986508295226796,1.1919746221289882,1.4335180030859014,1
OK-J6-2,4531,1.2871330832045906,2.0542207604359413,1.2031150090454887,1.930274134200769,1
OK-K10,4524,1.278293545534925,2.071362843900795,1.198493843876151,1.2212737143563668,1
OK-K6,4458,1.233961417676088,2.009756919932107,1.2006661601270165,1.920758841344863,1
OK-K7,6386,1.3092702787347321,1.9924543915048627,1.1872427429167016,1.503267084096439,1
OK-L16,417,1.1247002398081534,2.0143415990268556,1.200142547872118,1.2234949989839763,1
OK-L19,431,1.088167053364269,2.0242737246795355,1.2045155383609392,1.1069993548603945,1
OK-L6,4115,1.257108140947752,2.0565197548217697,1.2026603795597905,1.4723914973413326,1
OK-M6,4945,1.2495449949443882,2.031903159933903,1.1928261793154038,1.1407695958776092,1
OK-M7,9306,1.5753277455405115,2.0142936083126664,1.196624930400007,1.6174026303639648,1
SF I29-1,13019,2.1957907673400414,1.987516615813054,1.1826496739433794,2.3209728699714374,1
SF-A15,9439,3.152664477169192,2.0456705816700143,1.2108278445294491,1.2131450405273887,1
SF-A24-2,7360,1.8240489130434783,1.977253770622728,1.188499903128237,1.9922293493972614,1
SF-AA15-2,985,1.1441624365482232,2.037581928545018,1.1951241192686748,1.5122878749953563,1
SF-AA18,1345,1.1620817843866171,2.055857980653732,1.197781073036442,1.3853640656559545,1
SF-AA20,408,1.196078431372549,2.014581419706302,1.1998363375993972,1.1943372895568753,1
SF-AA8,614,1.1644951140065147,2.0378980851708293,1.2036074785054274,1.2311563193159683,1
SF-B15,5562,1.6988493347716649,2.104165544018883,1.2121116861877894,1.6665784579839868,1
SF-B21,12804,2.106373008434864,1.9662117430558157,1.1857459962983505,2.0491202070633676,1
SF-B28-2,15639,3.013491911247522,2.0092564360428096,1.192250670850663,1.948751624465295,1
SF-D24,14283,2.2176013442554083,1.9474504131861499,1.1824075281031754,2.522817563718026,1
SF-D27,16894,2.294779211554398,1.9149589198512749,1.1816250762300222,1.7565996072183696,1
SF-E18,9059,1.6377083563307209,2.018247016374649,1.193971899492953,1.9575719151925246,1
SF-E29-1,18846,4.397750185715802,1.9555050442945852,1.1862531491505295,2.918682418257679,1
SF-F19,14419,2.082876759830779,1.9674098370633035,1.1885444309968098,1.9526291945239047,1
SF-F28-2,18690,4.126645264847512,1.9286649424615891,1.1806663491661875,2.571576498301274,1
SF-F30-2,14263,2.6399775643272805,1.995857298706254,1.1877413470942226,2.0213778318520865,1
SF-G12,12848,1.9385118306351183,1.9569186882323006,1.1917032514128114,1.3396828288036455,1
SF-G20,18072,2.7973660911907925,1.919024782700915,1.1861409041167565,1.7050113321397355,1
SF-G25,19542,2.1618053423395764,1.8539587108525408,1.1684912498108995,1.8925736906697472,1
SF-G26,15395,1.9403052939265995,1.9127544236956155,1.1811297889098622,3.8619881223405645,1
SF-G29-2,19742,2.7216594063418094,1.8988018939690565,1.1755254919642402,2.2875282335231435,1
SF-G29-3,14137,2.5459432694348165,1.9784996224857876,1.1855851769248182,2.3091378854760976,1
SF-G7,9423,1.67218507906187,1.9889217379550985,1.196940612288519,1.4061063362742696,1
SF-GGP-02,6639,2.6451272782045487,2.0455580957106556,1.2102884027250815,1.7603616247296692,1
SF-H19,7603,1.4174667894252269,1.9936658713192335,1.191892421488686,2.128003181182187,1
SF-H20,13508,1.8254367782055079,1.9649083323454652,1.190583336930269,1.6818240271963014,1
SF-H26,22339,3.5427727293074893,1.8644981384286574,1.1742097973747279,2.4378657375571744,1
SF-H27-1,13851,2.2968016749693163,1.9548362668170618,1.1919440662680867,1.6475089232449123,1
SF-H30,11759,2.2035036992941577,2.001997358488988,1.1954742012129416,2.3813641970308046,1
SF-H30-2,10919,2.2607381628354246,1.9594983096823293,1.1832425558546686,2.3992315866269354,1
SF-I23-1,16722,2.3101303671809594,1.9254603191731874,1.1807250253984183,2.106154050350467,1
SF-I25,21740,2.7593836246550136,1.853067033380227,1.1702031866289162,2.2886794444023475,1
SF-J10,10650,2.2133333333333334,1.9813719505618737,1.193095981946068,2.057446040217309,1
SF-J13,10281,1.7853321661316992,1.9930122490958386,1.1948275398272679,1.9384250690400409,1
SF-J30,6899,4.064647050297144,1.9764291100095324,1.1919475854662553,2.2291409333830816,1
SF-K17-2,14633,2.153283673887788,1.945120432961623,1.183953121289253,1.6021315930656672,1
SF-K24-3,9953,1.9516728624535316,1.9401075136930397,1.1830767461506035,1.9444884303822374,1
SF-K28,12739,2.154957217991993,2.0151626712632793,1.18954828650721,2.816350550012167,1
SF-L15,18185,3.4757767390706626,1.9234448722112691,1.184033251810572,1.635300521010178,1
SF-L19,15654,2.155359652484988,1.9384933521836132,1.1823223988911291,2.287283110187339,1
SF-LW24,82,1.2073170731707317,1.9740287980657432,1.2173358499590756,1.5773004221437916,1
SF-LW28,344,1.2034883720930232,1.990030423426896,1.2069300401335201,1.3412812579495217,1
SF-LW5,170,1.1235294117647059,1.9810105432748442,1.1975463385903284,1.1258760019603726,1
SF-M22-1,16061,1.8452151173650457,1.8923700599354114,1.177628539219719,1.7352085621913909,1
SF-M3,5905,1.932091447925487,2.0310659739431456,1.2074235369004342,1.5652915774677079,1
SF-M30-4,16527,3.2848066799782174,1.9661383443003344,1.1873313344192804,1.6751067384683116,1
SF-M4,3251,1.610888957243925,2.059719191344896,1.2142757601944587,1.459897089511368,1
SF-N22-1B,16197,2.073902574550843,1.9360287623249106,1.1853530228019828,1.9621517838049642,1
SF-N22-2,22998,3.3373336811896688,1.8574189099333676,1.1739867225534033,1.8794482374615527,1
SF-N26,14297,1.7554731761908093,1.9206856118444637,1.1775063756547153,1.9174332479520224,1
SF-O12,6292,1.397488874761602,2.0387709440883275,1.1970592359950785,1.2980924228634265,1
SF-O18,14941,1.9905628806639448,1.9380060132511507,1.1829297744573408,1.3984192429533604,1
SF-O2,2389,1.401004604437003,2.0582167574300234,1.2088007962911174,1.640397308344894,1
SF-O21,18547,2.907208712999407,1.9243614346888456,1.1842932353752835,2.2466400469434165,1
SF-O23,18280,2.346389496717724,1.9097317693825644,1.1832629905230954,1.884224834754742,1
SF-P21,14080,2.0531960227272728,1.9684114457096409,1.188188609815921,2.578326975942251,1
SF-P24,17225,2.464267053701016,1.945363591500866,1.186520649600536,1.268925321692365,1
SF-P7,1610,1.2503105590062111,2.0353454771960817,1.2039694045187268,1.221339051978924,1
SF-Q23-3,17311,2.3704580902316446,1.939781403219045,1.1869266654457342,1.6130520789148763,1
SF-S22-1,15598,1.9687139376843186,1.9469201429595429,1.1865393389344232,1.211533263528776,1
SF-S30,3899,1.6578609899974353,1.9754508182706119,1.2018171524436454,1.4961355110830226,1
SF-T27,1432,1.1396648044692737,1.85830377834997,1.1635643353235559,1.1120137005331632,1
SF-W19,7254,1.4153570443893024,2.035525149570461,1.1970000123839437,1.2614415585674015,1
SF-W19-2,2729,1.1788200806156102,2.051188476890716,1.2032362264027714,1.397662352677092,1
SF-Y14,2051,1.159434422233057,2.030777053342201,1.1912838816711762,1.766040575998366,1
SF-Y25,1246,1.1837881219903692,2.143314753489279,1.2127680148122253,1.199951832622037,1
SF-Y27,1349,1.1037805782060786,2.0040364180091936,1.1877644259100135,1.3489691640506107,1
SF-Z28,1542,1.109597924773022,1.9936293517124852,1.1749270559246328,1.433027409554104,1
SJ-H10,1103,1.1677243880326382,2.0886593683289916,1.199311424290941,1.4901719554648045,1
SJ-H11,1243,1.236524537409493,1.9944534308817723,1.2007300587073082,1.3462624235674743,1
SJ-H12,1417,1.1820748059280168,1.9382518436005305,1.1788472273310395,1.1756922648986128,1
SJ-I10,1554,1.1833976833976834,1.9983911358402404,1.1956934413041949,1.1211737170464011,1
SJ-I14,356,1.2191011235955056,1.9436828309456016,1.1941922516409722,1.2076611105776291,1
SJ-M11-1,4205,1.3438763376932223,1.9508983018292918,1.1964838204967208,1.4457654728947262,1
SJ-M4,2199,1.3310595725329695,1.898598284299195,1.188410279073643,1.212965359062597,1
SJ-M8-2,838,1.1992840095465394,2.0192006828087488,1.1989174010346864,1.7460046298783929,1
SJ-M9-2,3110,1.3061093247588424,1.958048518303984,1.1892077996170152,2.2239069789134214,1
SJ-N14,1084,1.2066420664206643,1.9919380821305348,1.193436638836371,1.1412514262629756,1
SJ-N5,3222,1.3743016759776536,1.9847725860487646,1.18995646769005,1.1678570869792795,1
SJ-N7,653,1.2756508422664625,1.9420041185783634,1.1861608608914582,1.13242819109517,1
SJ-P8,467,1.0899357601713062,2.0234846079775135,1.1825099724110977,1.2003064759808206,1
SJ-R11,1353,1.2668144863266815,1.9317446037333454,1.193958527870274,1.1701694321927143,1
BK-B7,4324,1.2398242368177614,1.9591457439135174,1.1908841501134904,1.3392393582896265,2
BK-C7,4129,1.3199321869702108,1.9399010691849154,1.1862171905978325,1.596368794706295,2
BK-C9,8015,1.7140361821584529,1.9431710576335435,1.185189131175699,1.3165677620090057,2
BK-G7,7477,1.385448709375418,2.004259322899133,1.1992782885985183,1.30365793199231,2
EM-B1,3479,1.3058350100603622,2.044067624121992,1.2027088829963006,1.8397851101710732,2
EM-D2,3896,1.2263860369609856,2.0309310686625417,1.2011742428612877,1.2423699199481488,2
GGP-L1.5,537,1.4878957169459963,2.0770901571044424,1.238135207726554,2.1332137289047717,2
L1.11,323,1.256965944272446,2.0991639551829477,1.2362303624099709,1.445246146132248,2
OK-B3,2275,1.1692307692307693,2.0392300388372187,1.200074247737953,1.5342276938657502,2
OK-C2,3482,1.1883974727168294,1.9240956087863947,1.173071267948742,1.3083068627822416,2
OK-D2,4504,1.2073712255772646,1.9883415642519509,1.1853343167405836,1.539917737082525,2
OK-G4,2342,1.2006831767719897,1.9732499617593438,1.1936890831127098,1.2744792451852713,2
OK-H2-2,673,1.0817236255572065,1.9983127451854383,1.1925496691406239,1.8351212718417924,2
OK-H4-3,2714,1.1120117907148122,1.979151616468907,1.1813022069130423,1.1399082428324663,2
OK-H9-1,6096,1.29002624671916,1.9500967577275155,1.1897700426645321,1.2135739463285917,2
OK-J6-1,9538,1.462780457118893,1.9637390080329353,1.1868609278965656,1.2755371314407045,2
OK-K17,341,1.06158357771261,1.9663311469810796,1.1765922531515158,1.282534461290588,2
OK-L1,3957,1.1726055092241596,1.9794210046907004,1.1855218513379595,1.245687891770409,2
OK-L5,7896,1.4561803444782169,1.9480249195925654,1.1886207342568893,1.739056820139014,2
OK-L8,2666,1.2888222055513878,2.020947328400116,1.2024115017323551,1.562767532065015,2
OK-M14,334,1.0868263473053892,1.9470705544654432,1.1867914660178425,1.2758199181960321,2
OK-M3,1066,1.096622889305816,1.9769429470917224,1.1889960376723308,1.2073566769560153,2
OK-N1,10167,1.739844595259172,1.9964284523731333,1.1903446635529067,1.4224622195857766,2
OK-N5,3684,1.4117806731813247,2.1231413855580095,1.216476831157811,1.6844809090990245,2
SF-A11,6211,3.706810497504428,2.0168021910399525,1.202238279563625,1.4289922108425375,2
SF-A25,17504,2.853404936014625,1.914732709746601,1.1791811488385129,2.263407902444606,2
SF-B22,15059,2.5016269340593666,1.9303871885339232,1.1796369160357225,1.7242572257009363,2
SF-B28,11503,2.198643832043815,1.9901565052194037,1.1965168131820574,2.4701874361357703,2
SF-C14,5222,1.4785522788203753,2.0429309188536084,1.2006853202908327,1.6720849056139828,2
SF-C18,13158,2.334245326037392,1.9282949039644979,1.1830405978096727,1.5119585008675223,2
SF-C21,14016,2.1388413242009134,1.9321113299771295,1.1832221409976496,1.9870372493409891,2
SF-C22,16736,2.5149378585086044,1.8852493180898364,1.1737453329942111,1.6690446947793334,2
SF-C26-1,18571,2.2735986215066504,1.8460049251923822,1.1714496866741813,2.02847218324807,2
SF-C28-2,10637,1.9052364388455392,1.9806938361541915,1.183745264311698,1.904982386391091,2
SF-D27-2,12131,1.8606874948479104,1.9371647247096322,1.181623561090001,2.222774375418175,2
SF-D29,17231,3.481167662933086,1.9546579581387926,1.1865761874744418,2.031549025615461,2
SF-DD10,699,1.145922746781116,1.9672989203617308,1.1958648899878483,1.1742464308145373,2
SF-E28,14535,2.9308565531475748,1.9513707177304498,1.1824876972395328,2.510885351879282,2
SF-E28-2,10302,2.6543389633080956,1.9844749839636437,1.1865321371811992,2.9395188089925837,2
SF-E29-2,22220,5.962016201620162,1.8614243199790383,1.170148450269805,2.4935502722130107,2
SF-F23-3,10843,2.7369731624089275,1.8682526056710604,1.1722842755534606,1.808696851571893,2
SF-F26,21249,2.910442844369147,1.8460510922197255,1.1674095495188617,2.7699606340547698,2
SF-F9,7215,1.5402633402633403,1.943324540549236,1.185187453385335,1.2547944369902366,2
SF-G17,10689,1.6725605762933857,1.9717646500587973,1.1863496600048555,1.5131498333060107,2
SF-G29-1,17856,3.80975582437276,1.9254304352548055,1.1785342167406074,1.7182602299096161,2
SF-G30-2,13104,2.044261294261294,1.958077901100878,1.1863007703296242,1.8654983594692545,2
SF-G6-1,5450,1.6194495412844037,1.956086570670272,1.1880885520914988,1.4234907980843767,2
SF-G9,7120,1.4768258426966292,1.9810928770843859,1.1953048419103014,1.4911614493867758,2
SF-GGP-03,10430,4.9294343240651965,1.9519513505720874,1.1885664980842243,1.9010467629623475,2
SF-GGP-04,5551,2.6606016933885788,1.9982958973062472,1.203631189937058,1.2108296840681472,2
SF-H0,6256,2.0463554987212276,2.0080087234917894,1.2100499800399431,1.5014978556286263,2
SF-H12,8502,1.549282521759586,1.972285315933,1.1902806144982288,1.662769910022802,2
SF-H18,8160,1.439093137254902,1.975635669294291,1.187368297865019,2.0068299376051746,2
SF-H28-2,7970,1.8756587202007529,1.9426517255700815,1.183848475207233,1.9605859282682288,2
SF-H29,16556,3.1976322783280984,1.9266063445202382,1.1787996959989429,2.1814709015503704,2
SF-I19,14621,2.142808289446686,1.932816183786598,1.1806824044757531,2.284946330823075,2
SF-I23-2,15164,2.2008045370614613,1.9153943680926981,1.182550458160064,2.4146749875615376,2
SF-I26-2,4632,1.596502590673575,1.9183887263830626,1.178865435110851,2.060793277255517,2
SF-J14,6434,1.3824992228784583,2.0055337387824452,1.192996971788925,1.986994446274972,2
SF-J22-2,19981,2.86832490866323,1.8777092770781982,1.1757116558396106,1.6510242953991159,2
SF-J23-1,24178,4.575605922739681,1.82364147165036,1.1646942266754599,2.143887037190823,2
SF-J29,20230,5.4861097380128525,1.8884049294598706,1.1762528277274458,1.7968367425258864,2
SF-J5,7238,1.5592705167173253,1.923279574793726,1.1817100473571895,1.3970698342485648,2
SF-K20,21952,3.4451986151603498,1.8539887986575434,1.1717831338526417,1.929789544819284,2
SF-K23,13883,1.9871785637110135,1.9481330650142479,1.1851187901402636,2.105957690369978,2
SF-L24-2,8490,1.6942285041224971,1.9681541028985319,1.1922313540116838,1.7952064102058567,2
SF-L30-1,15681,2.8618072826988077,1.9576857776232437,1.1891995840264202,1.7588871168841564,2
SF-LW11,130,1.1,1.9023705545058656,1.184164681871397,1.3703864147045974,2
SF-LW215,112,1.0535714285714286,1.9511858372432467,1.182487440166234,1.1960397272069911,2
SF-LW23,280,1.3142857142857143,2.000906427200927,1.215429548295455,2.2010860568451958,2
SF-LW27,31,1.032258064516129,1.936190516895805,1.191796017801077,1.305617208860396,2
SF-M13,15960,2.356328320802005,1.9299246646356,1.1793792061686053,1.4848146802675586,2
SF-M20,22326,3.218534444145839,1.8344098441029617,1.1677253978183098,2.5426310885482963,2
SF-N24-2,16206,2.6877699617425646,1.9535179501332434,1.187971306124414,1.5580754914490715,2
SF-N25,15389,2.236987458574306,1.9390897944871464,1.1852131448421341,2.181348489750535,2
SF-N29,15264,2.5112683438155137,1.9467860725366506,1.1806504451677675,1.7121245127929094,2
SF-Q21-1,12318,1.7791849326189317,1.9300178141533133,1.1792080755653058,2.047218885926063,2
SF-Q21-2,12923,1.9103923237638318,1.9616009744022784,1.1864953009171977,1.5067484503968687,2
SF-Q22-1,19625,2.5237707006369425,1.8725175252132533,1.1755252440555752,1.7956321469130114,2
SF-Q22-2,18902,2.6496137974817477,1.8882247026445431,1.1769996500428892,1.9260793014019306,2
