city,slug,N,cv_M,cv_I,cv_T,cv_R,rng_T,rng_R,T_var,T_iqr,rho_M_y,rho_I_y,rho_T_y,rho_R_y
Vélomagg Montpellier,velomagg,48,0.7652525648760307,0.5128940841930778,0.3989574825935454,0.38746285908972855,67.0,12.857678573354777,248.3404255319149,16.0,0.3729021895781157,0.11202778983934,-0.4564073436455117,-0.07629443401829739
Bluebikes Boston,boston_bluebikes,493,1.96651638620368,1.43901918391589,0.7064009774578344,0.6536833472990567,60.0,18.456341783907426,120.84423390887055,12.0,0.1831124837978097,0.43639269432278754,-0.25852114779248264,-0.22089905647535132
Capital Bikeshare DC,dc_capitalbikeshare,765,2.0157778350016162,1.2212096260996608,0.7216375241687784,0.6447515281614116,162.0,31.224349472807273,1668.6735174348973,69.0,0.20233529700493277,0.46755449990456305,-0.4613587670578156,-0.28641709004867955
Divvy Chicago,chicago_divvy,1337,2.4150653676436686,1.5818374284031482,0.033776150081807226,1.4597453910843168,85.0,30.057278652599273,39.50079720887321,5.0,0.2495369367748324,0.3417774905133423,-0.13289627041962887,0.3514342118884233
Bay Wheels SF,sf_baywheels,552,2.1398229008307057,1.2198630506742225,0.8415949067236881,0.7048166969037969,160.0,29.23820323534006,746.3724157658013,37.0,0.24333811483357343,0.2299085441902431,-0.04184014597224913,0.17547608142957835
BIXI Montréal,montreal_bixi,717,2.078892993124103,1.0084807429084262,0.48562119437038004,0.8015134766743668,142.0,33.00060605504087,428.24579057681365,33.0,0.22519385081049872,0.31141670363543456,0.39740548709439005,-0.16118809868519193
Santander Cycles London,london_tfl,788,1.3422508115395329,1.1045323874529056,0.5751689041440335,0.6447442351942881,50.0,10.8,120.83376440766519,18.0,0.2097653398317568,0.13196062930945138,0.296074972393752,0.07821340860949215
Vélib Paris,paris,1361,1.247260089155769,1.107425795946078,0.3601512679609924,0.9046877587520267,156.0,60.60986351705105,407.6857101179928,21.0,0.22380495734720218,0.22654303394417036,-0.2429723086894233,-0.2952272108480317
Vélo'v Lyon,lyon,462,1.339341853542694,1.0837475702494037,0.15018658452335729,1.3802356633175086,136.0,48.06276921514082,781.6922932454387,11.0,0.27203474559866975,0.19572048470140826,-0.18747170334856106,-0.2829224028006953
VéLÔ Toulouse,toulouse,448,1.7865791523475814,0.9365935631348118,0.08423631577510934,1.1296659868112215,112.0,32.98848283871206,158.76721296740175,13.0,0.362099667051863,0.14007253152570703,-0.031374487304636524,-0.038109247734068076
