city,n_stations,span_hours,pseudo_trips_total
Paris,1514,1887.6,403934
lyon,463,1887.6,191466
toulouse,462,1887.6,147737
levelo_inurba_marseille,228,1887.6,84776
v_lille,267,1887.6,33188
velo-tbm-bordeaux,230,1887.6,30235
velivert_saint_etienne,97,1887.6,21519
nantes,124,1887.6,14417
twisto_velolib_caen,76,1884.8,12388
inurba-rouen,131,1887.6,11818
velonecy60minutes_annecy,80,1887.6,11021
vilvolt_epinal,107,1884.8,10935
CVelo_FR_Clermont-Ferrand,82,1884.8,9114
velozef,46,1887.6,8758
velopop,29,1884.8,8662
tanlib,59,1884.8,7373
amiens,46,1887.6,6963
capcotentin,49,1884.8,6956
zebullo,66,1887.6,6296
nancy,40,1887.6,5855
nextbike_af,62,1887.6,5536
le_velo_star,57,1887.6,5416
beb,46,1884.8,5025
auxrmlevelo,55,1884.8,4496
libelo,68,1884.8,4351
idecycle_pau,40,1884.8,3669
velibeo,26,1884.8,1939
semo,40,1884.8,1846
montpellier,53,1887.6,1648
Optymo_Belfort_ALS,52,1884.8,414
