N,SFR,sigma_u,rho_g_mean,rho_g_std,rho_fe_mean,rho_fe_std,n_reps
25,0.0,0.0,0.5914332183492023,0.20462875509299644,-0.3833416721501037,0.14137396609913117,30
50,0.0,0.0,0.6845942596321125,0.10877862122897797,-0.2557452234439432,0.10944086007554475,30
100,0.0,0.0,0.7265334434665509,0.07725011997299085,-0.18781993477652098,0.08221118902736695,30
200,0.0,0.0,0.7967785294976059,0.052235634396282545,-0.1205245668772437,0.06021393382165784,30
400,0.0,0.0,0.8202429995771653,0.0454825200575658,-0.0855354284958941,0.0345859952260665,30
800,0.0,0.0,0.8323272161091133,0.041922881149396206,-0.06340458121642792,0.028795828888570574,30
1600,0.0,0.0,0.8306163380042804,0.045636792396511645,-0.04797042738023893,0.015353925758854662,30
25,0.2,0.4472135954999579,0.5028834191121737,0.19113097512156305,-0.3642530349966539,0.15419512557839418,30
50,0.2,0.4472135954999579,0.6409234634784204,0.11801351898184777,-0.25234791813826296,0.08402585398349166,30
100,0.2,0.4472135954999579,0.6746085814677077,0.12207785477572354,-0.1735468608703668,0.07747003997703071,30
200,0.2,0.4472135954999579,0.7692122682227761,0.051849315005419665,-0.12745670950164448,0.04754416204453441,30
400,0.2,0.4472135954999579,0.7933097546667132,0.05647529371742483,-0.0937116466838809,0.035766812940289695,30
800,0.2,0.4472135954999579,0.8022582978022217,0.047350049824720714,-0.06188053812643088,0.0228039422082946,30
1600,0.2,0.4472135954999579,0.8184803537589467,0.049908722568760694,-0.04154198269217122,0.01340405202371454,30
25,0.5,0.7071067811865476,0.3939580032556141,0.2099673064670481,-0.3702672631408914,0.10703749642543794,30
50,0.5,0.7071067811865476,0.5388151143397997,0.1611520415608912,-0.23849736573818228,0.06935106892931059,30
100,0.5,0.7071067811865476,0.6829396412898792,0.12665454583519328,-0.16312784353383777,0.07929661107882348,30
200,0.5,0.7071067811865476,0.7408082174901447,0.09820633900974964,-0.13110241230705666,0.03790924835856168,30
400,0.5,0.7071067811865476,0.7852054073712439,0.050320062498844055,-0.08159633049358042,0.03112943660650606,30
800,0.5,0.7071067811865476,0.8108103512421009,0.05061368219632638,-0.0598137795413018,0.025637764172465303,30
1600,0.5,0.7071067811865476,0.812828697894333,0.03692543932239864,-0.04028097364431241,0.01717376237661783,30
25,1.0,1.0,0.34131357587843886,0.20194572287616228,-0.34477216557292756,0.12813994753333618,30
50,1.0,1.0,0.4866661234552252,0.16993369024195862,-0.23617805153911217,0.05959285631188829,30
100,1.0,1.0,0.6087009091096712,0.1063456060842916,-0.17164432870781876,0.055597821106327334,30
200,1.0,1.0,0.7383932932751162,0.07894916820427936,-0.12275158913967636,0.05163166018256948,30
400,1.0,1.0,0.7779019834040284,0.05926187542203615,-0.093663677359847,0.033937544115094156,30
800,1.0,1.0,0.7960821284026696,0.0597257019618242,-0.0606929174061243,0.028867886891919395,30
1600,1.0,1.0,0.8189494017063433,0.04122417448718238,-0.04498964017850921,0.012837209037095737,30
25,2.0,1.4142135623730951,0.18018525314260184,0.2599380279381077,-0.34738704737477,0.13786534989204033,30
50,2.0,1.4142135623730951,0.4166983303354265,0.15869103862492515,-0.21876686184750127,0.07754896046912087,30
100,2.0,1.4142135623730951,0.6198203167234347,0.12629755541711304,-0.1693661893372141,0.07889583547491927,30
200,2.0,1.4142135623730951,0.7024968425887648,0.06920358723243736,-0.12151049882294028,0.04558275568154828,30
400,2.0,1.4142135623730951,0.7621209470477749,0.06760863914115443,-0.08625343742052884,0.032188803840332625,30
800,2.0,1.4142135623730951,0.7763749958513817,0.04693220802809537,-0.059367385202451994,0.018634207278960292,30
1600,2.0,1.4142135623730951,0.803822420330383,0.04577353815236774,-0.04016583484615446,0.01325947072980036,30
